user_id,title,overview,system_category,upper_limit_count,lower_limit_count,play_genre,play_time,content,level,created_at,updated_at
1,AA111AA,ホラー系のシナリオです,クトゥルフ,6人,1人,オンライン,1時間,# 内容[1],★,2021/8/26 0:00,2021/8/26 0:00
1,AA112AA,ファンタジーシナリオです,ソードワールド,7人,2人,オンライン,2時間,# 内容[2],★★,2021/8/27 0:00,2021/8/27 0:00
1,AA113AA,カオスシナリオです,サタスペ,8人,3人,オンライン,3時間,# 内容[3],★★★,2021/8/28 0:00,2021/8/28 0:00
1,AA114AA,現代ファンタジーシナリオです,ダブルクロス,9人,4人,オンライン,4時間,# 内容[4],★★★★,2021/8/29 0:00,2021/8/29 0:00
1,AA115AA,ジャンル不明なシナリオです,その他,上限なし,5人,オンライン,5時間,# 内容[5],★★★★★,2021/8/30 0:00,2021/8/30 0:00
1,AA116AA,ホラー系のシナリオです,クトゥルフ,6人,1人,オフライン,1時間,# 内容[6],★★★★★,2021/8/27 0:00,2021/8/27 0:00
1,AA117AA,ファンタジーシナリオです,ソードワールド,7人,2人,オフライン,2時間,# 内容[7],★★★★,2021/8/26 0:00,2021/8/26 0:00
1,AA118AA,カオスシナリオです,サタスペ,8人,3人,オフライン,3時間,# 内容[8],★★★,2021/8/30 0:00,2021/8/30 0:00
1,AA119AA,現代ファンタジーシナリオです,ダブルクロス,9人,4人,オフライン,4時間,# 内容[9],★★,2021/8/29 0:00,2021/8/29 0:00
1,AA120AA,ジャンル不明なシナリオです,その他,上限なし,5人,オフライン,5時間,# 内容[10],★,2021/8/28 0:00,2021/8/28 0:00
2,BB111BB,ホラー系のシナリオです,クトゥルフ,6人,1人,オンライン,2時間,# 内容[11],★,2021/8/29 0:00,2021/8/29 0:00
2,BB112BB,ファンタジーシナリオです,ソードワールド,7人,2人,オンライン,3時間,# 内容[12],★★,2021/8/30 0:00,2021/8/30 0:00
2,BB113BB,カオスシナリオです,サタスペ,8人,3人,オンライン,4時間,# 内容[13],★★★,2021/8/26 0:00,2021/8/26 0:00
2,BB114BB,現代ファンタジーシナリオです,ダブルクロス,9人,4人,オンライン,5時間,# 内容[14],★★★★,2021/8/27 0:00,2021/8/27 0:00
2,BB115BB,ジャンル不明なシナリオです,その他,上限なし,5人,オンライン,6時間,# 内容[15],★★★★★,2021/8/28 0:00,2021/8/28 0:00
2,BB116BB,ホラー系のシナリオです,クトゥルフ,6人,1人,オフライン,2時間,# 内容[16],★★★★★,2021/8/26 0:00,2021/8/26 0:00
2,BB117BB,ファンタジーシナリオです,ソードワールド,7人,2人,オフライン,3時間,# 内容[17],★★★★,2021/8/30 0:00,2021/8/30 0:00
2,BB118BB,カオスシナリオです,サタスペ,8人,3人,オフライン,4時間,# 内容[18],★★★,2021/8/29 0:00,2021/8/29 0:00
2,BB119BB,現代ファンタジーシナリオです,ダブルクロス,9人,4人,オフライン,5時間,# 内容[19],★★,2021/8/28 0:00,2021/8/28 0:00
2,BB120BB,ジャンル不明なシナリオです,その他,上限なし,5人,オフライン,6時間,# 内容[20],★,2021/8/29 0:00,2021/8/29 0:00
3,CC111CC,ホラー系のシナリオです,クトゥルフ,6人,1人,オンライン,3時間,# 内容[21],★,2021/8/27 0:00,2021/8/27 0:00
3,CC112CC,ファンタジーシナリオです,ソードワールド,7人,2人,オンライン,4時間,# 内容[22],★★,2021/8/30 0:00,2021/8/30 0:00
3,CC113CC,カオスシナリオです,サタスペ,8人,3人,オンライン,5時間,# 内容[23],★★★,2021/8/29 0:00,2021/8/29 0:00
3,CC114CC,現代ファンタジーシナリオです,ダブルクロス,9人,4人,オンライン,6時間,# 内容[24],★★★★,2021/8/28 0:00,2021/8/28 0:00
3,CC115CC,ジャンル不明なシナリオです,その他,上限なし,5人,オンライン,7時間,# 内容[25],★★★★★,2021/8/27 0:00,2021/8/27 0:00
3,CC116CC,ホラー系のシナリオです,クトゥルフ,6人,1人,オフライン,3時間,# 内容[26],★★★★★,2021/8/26 0:00,2021/8/26 0:00
3,CC117CC,ファンタジーシナリオです,ソードワールド,7人,2人,オフライン,4時間,# 内容[27],★★★★,2021/8/30 0:00,2021/8/30 0:00
3,CC118CC,カオスシナリオです,サタスペ,8人,3人,オフライン,5時間,# 内容[28],★★★,2021/8/29 0:00,2021/8/29 0:00
3,CC119CC,現代ファンタジーシナリオです,ダブルクロス,9人,4人,オフライン,6時間,# 内容[29],★★,2021/8/26 0:00,2021/8/26 0:00
3,CC120CC,ジャンル不明なシナリオです,その他,上限なし,5人,オフライン,7時間,# 内容[30],★,2021/8/27 0:00,2021/8/27 0:00
